ads_title,posted_date,priority_date,category,school,department,specialization,rank,city,state,canada,current_status,comments1,comments2,ads_source,ads_job_code
Chemistry Instructor,02/04/2021,,,"=hyperlink(""https://centralcc.peopleadmin.com/postings/3975"",""Central Community College"")",Chemistry,,,Columbus,NE,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177402269&Title=Chemistry%20Instructor"",""HigherEdJobs"")",177402269
Assistant Teaching Professor - Chemistry,02/04/2021,,,"=hyperlink(""https://jobs.villanova.edu/postings/19560"",""Villanova University"")",Chemistry,,asst,Villanova,PA,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177402285&Title=Assistant%20Teaching%20Professor%20%2D%20Chemistry"",""HigherEdJobs"")",177402285
Director of General Chemistry Labs,02/04/2021,,,"=hyperlink(""https://jobs.colorado.edu/jobs/JobDetail/Director-of-General-Chemistry-Labs/28746?source=JB-10062"",""University of Colorado Boulder"")",Chemistry,,,Boulder,CO,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177402543&Title=Director%20of%20General%20Chemistry%20Labs"",""HigherEdJobs"")",177402543
Chemistry Instructor,02/04/2021,,,"=hyperlink(""https://www.lsmsa.edu/about-us/employment"",""Louisiana School for Math, Science, and the Arts"")",Chemistry,,,Natchitoches,LA,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177402663&Title=Chemistry%20Instructor"",""HigherEdJobs"")",177402663
Assistant Professor of Forensic Science,02/04/2021,,,"=hyperlink(""http://www.sa.edu/about-us/employment-opportunities"",""St. Andrews University (A Branch of Webber International University)"")",Other Science Faculty,,asst,Laurinburg,NC,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177402942&Title=Assistant%20Professor%20of%20Forensic%20Science"",""HigherEdJobs"")",177402942
Tenure Track Assistant Professor in Chemistry,02/04/2021,03/06/2021,,"=hyperlink(""https://apply.interfolio.com/83374"",""University of New Haven"")",,Education,asst,West Haven,Connecticut,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31049/tenure-track-assistant-professor-in-chemistry/"",""C&ENJobs"")",31049
Manager- Analytical R&D Operations,02/04/2021,04/05/2021,,"=hyperlink(""https://careers-entegris.icims.com/jobs/8332/manager--analytical-r%26d-operations/job?hub=14&mobile=false&width=1053&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240"",""Entegris"")",,"Analytical,Engineering",,Burnet,Texas,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31044/manager-analytical-r-and-d-operations/?LinkSource=PremiumListing"",""C&ENJobs"")",31044
"Visiting Assistant Professor, Chemistry",02/04/2021,03/06/2021,,"=hyperlink(""https://berry.interviewexchange.com/jobofferdetails.jsp;jsessionid=A55B83C23B4120E739417704ADE7F06F?JOBID=128035"",""Berry College Human Resources"")",,Analytical,asst,Mount Berry,Georgia,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31041/visiting-assistant-professor-chemistry/"",""C&ENJobs"")",31041
Research Assistant I/II (Laboratory Chemist),02/04/2021,03/06/2021,,"=hyperlink(""https://www.auemployment.com/postings/21215"",""Graystone Group Advertising"")",,Biological,asst,Auburn,Alabama,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31047/research-assistant-i-ii-laboratory-chemist-/"",""C&ENJobs"")",31047
Assistant/Associate Professor of Medicinal Chemistry,02/04/2021,03/06/2021,,"=hyperlink(""https://wne.csod.com/ats/careersite/search.aspx?site=1&c=wne"",""Western New England University"")",,Pharmaceutical,asst/assoc,Springfield,Massachusetts,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31046/assistant-associate-professor-of-medicinal-chemistry/"",""C&ENJobs"")",31046
"Assistant Professor, Chemistry (Tenure Eligible)",02/03/2021,,,"=hyperlink(""https://www.schooljobs.com/careers/mclennan"",""McLennan Community College"")",Chemistry,,asst,Waco,TX,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177401767&Title=Assistant%20Professor%2C%20Chemistry%20%28Tenure%20Eligible%29"",""HigherEdJobs"")",177401767
Adjunct Professor - General Science,02/03/2021,,,"=hyperlink(""https://apptrkr.com/2141965"",""Lake Washington Institute of Technology"")",Biology,,,Kirkland,WA,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177401372&Title=Adjunct%20Professor%20%2D%20General%20Science"",""HigherEdJobs"")",177401372
"Adjunct, Chemistry",02/03/2021,,,"=hyperlink(""https://www.governmentjobs.com/careers/cravencc/Jobs/2973389"",""Craven Community College"")",Chemistry,,,New Bern,NC,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177401342&Title=Adjunct%2C%20Chemistry"",""HigherEdJobs"")",177401342
General Chemistry I - Applicant pool  Fall 2021,02/03/2021,,,"=hyperlink(""http://gcc.interviewexchange.com/jobofferdetails.jsp?JOBID=127969&jobboard=148"",""Greenfield Community College"")",Chemistry,,,Greenfield,MA,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177401370&Title=General%20Chemistry%20I%20%2D%20Applicant%20pool%20%20Fall%202021"",""HigherEdJobs"")",177401370
Assistant Professor,02/03/2021,03/05/2021,,"=hyperlink(""https://academicpositions.harvard.edu/postings/9917"",""Dana-Farber Cancer Institute"")",,Biochemical,asst,Boston,Massachusetts,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31038/assistant-professor/"",""C&ENJobs"")",31038
Medicinal Chemistry Faculty,02/03/2021,03/05/2021,,"=hyperlink(""https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=31000&clientkey=1E3AC297F410A99B94DEBF41FE3F4AF6&source=JobTarget%20via%20American%20Chemical%20Society%20-%20Chemical%20%26%20Engineering%20News%20(C%26EN%20Jobs)&utm_source=JobTarget&utm_medium=American%20Chemical%20Society%20-%20Chemical%20%26%20Engineering%20News%20(C%26EN%20Jobs)&utm_campaign=Medicinal%20Chemistry%20Faculty%20(31000)&_jtochash=z1koEQTYGDrlsoJTbYrB&_jtocprof=XsPiBx_RVbp6g9B0JqPI8-HkoMjvxWCz"",""JobTarget"")",,Medicinal / Clinical,,St. Louis,Missouri,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31043/medicinal-chemistry-faculty/"",""C&ENJobs"")",31043
Albert Einstein College of Medicine- Staff Chemist,02/03/2021,03/05/2021,,"=hyperlink(""https://hosted-apply.jobtarget.com/job/Albert-Einstein-College-of-Medicine-Staff-Chemist-k5n5BZIOlPeOuA1H2BnX?iis=JobTarget&iisn=American+Chemical+Society+-+Chemical+%26+Engineering+News+(C%26EN+Jobs)&utm_source=JobTarget&utm_medium=American%20Chemical%20Society%20-%20Chemical%20%26%20Engineering%20News%20(C%26EN%20Jobs)&utm_campaign=Albert%20Einstein%20College%20of%20Medicine-%20Staff%20Chemist%20(Albert%20Einstein%20College%20of%20Medicine-%20Staff%20Chemist)&_jtochash=k5n5BZIOlPeOuA1H2BnX&_jtocprof=XsPiBx_RVbp6g9B0JqPI8-HkoMjvxWCz"",""JobTarget"")",,Biochemical,,Bronx,New York,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31045/albert-einstein-college-of-medicine-staff-chemist/"",""C&ENJobs"")",31045
Chemistry Adjunct Instructor (ADJT21),02/02/2021,,,"=hyperlink(""https://www.governmentjobs.com/careers/sc/atc/jobs/2972527/chemistry-adjunct-instructor-adjt21"",""Aiken Technical College"")",Chemistry,,,Aiken,SC,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177400848&Title=Chemistry%20Adjunct%20Instructor%20%28ADJT21%29"",""HigherEdJobs"")",177400848
Assistant Professor of Chemistry,02/02/2021,,,"=hyperlink(""https://wnmu.hiretouch.com/job-details?jobID=1542&job=assistant-professor-of-chemistry"",""Western New Mexico University"")",Chemistry,,asst,Silver City,NM,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177400807&Title=Assistant%20Professor%20of%20Chemistry"",""HigherEdJobs"")",177400807
"Associate Professor, Chemistry",02/02/2021,,,"=hyperlink(""https://www.seminolestate.edu/hr/jobs?id=104123"",""Seminole State College"")",Chemistry,,assoc,Sanford,FL,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177400596&Title=Associate%20Professor%2C%20Chemistry"",""HigherEdJobs"")",177400596
Adjunct Instructor - Chemistry,02/02/2021,,,"=hyperlink(""https://tbr.csod.com/ux/ats/careersite/10/home/requisition/5173?c=tbr"",""Pellissippi State Community College"")",Chemistry,,,Knoxville,TN,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177399884&Title=Adjunct%20Instructor%20%2D%20Chemistry"",""HigherEdJobs"")",177399884
Adjunct Instructor - General Chemistry,02/02/2021,,,"=hyperlink(""https://tbr.csod.com/ux/ats/careersite/10/home/requisition/5193?c=tbr"",""Pellissippi State Community College"")",Chemistry,,,Knoxville,TN,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177399888&Title=Adjunct%20Instructor%20%2D%20General%20Chemistry"",""HigherEdJobs"")",177399888
"Assistant Professor, Chemistry (Riverside City College)",02/02/2021,,,"=hyperlink(""https://apptrkr.com/2139639"",""Riverside Community College District"")",Chemistry,,asst,Riverside,CA,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177400548&Title=Assistant%20Professor%2C%20Chemistry%20%28Riverside%20City%20College%29"",""HigherEdJobs"")",177400548
Part-Time Instructor of Chemistry (POOL),02/02/2021,,,"=hyperlink(""https://jobs.cocc.edu/postings/6429"",""Central Oregon Community College"")",Chemistry,,,Bend,OR,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177399833&Title=Part%2DTime%20Instructor%20of%20Chemistry%20%28POOL%29"",""HigherEdJobs"")",177399833
Adjunct Instructor - Organic Chemistry,02/02/2021,,,"=hyperlink(""https://tbr.csod.com/ux/ats/careersite/10/home/requisition/5216?c=tbr"",""Pellissippi State Community College"")",Chemistry,Organic,,Knoxville,TN,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177399864&Title=Adjunct%20Instructor%20%2D%20Organic%20Chemistry"",""HigherEdJobs"")",177399864
Chemistry Adjunct Instructor,02/02/2021,,,"=hyperlink(""https://jobs.odessa.edu/postings/3291"",""Odessa College"")",Chemistry,,,Odessa,TX,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=177400747&Title=Chemistry%20Adjunct%20Instructor"",""HigherEdJobs"")",177400747
Assistant Director of Undergraduate Studies in Environmental Science and Engineering,02/02/2021,03/04/2021,,"=hyperlink(""https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25240&siteid=5341&jobId=1500971&source=JobTarget%20via%20American%20Chemical%20Society%20-%20Chemical%20%26%20Engineering%20News%20(C%26EN%20Jobs)&utm_source=JobTarget&utm_medium=American%20Chemical%20Society%20-%20Chemical%20%26%20Engineering%20News%20(C%26EN%20Jobs)&utm_campaign=Assistant%20Director%20of%20Undergraduate%20Studies%20in%20Environmental%20Science%20and%20Engineering%20(51234BR)&_jtochash=b7Q6zgHnkoQ6tEJSeplr&_jtocprof=XsPiBx_RVbp6g9B0JqPI8-HkoMjvxWCz"",""JobTarget"")",,Education,asst,Cambridge,Massachusetts,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31029/assistant-director-of-undergraduate-studies-in-environmental-science-and-engineering/"",""C&ENJobs"")",31029
Assistant/Associate Professor in Medicinal/Pharmaceutical Chemistry,02/02/2021,04/03/2021,,"=hyperlink(""https://yourfuture.sdbor.edu/postings/21680"",""South Dakota State University"")",,"Education,Medicinal / Clinical,Organic,Pharmaceutical",asst/assoc,Brookings,South Dakota,,,,,"=hyperlink(""https://chemistryjobs.acs.org/job/31032/assistant-associate-professor-in-medicinal-pharmaceutical-chemistry/?LinkSource=PremiumListing"",""C&ENJobs"")",31032
